VarID	VarName	ProgIDReference	IsCopy	VarSize	Father	Ancestor	Redefines	Redefined	iLevel	PIC	szValues	Type	IsField	IsFiller	NumOfChilds	PosInRecord	iUsage	iSign	ResourceType	OccurID	ReadWrite	Precision	Occurs	ScopeID	Implicit_definition	MemoryPositionInRecord	DisplayPositionInRecord	DisplayedSize	RelatedToFileId	FullVarText	SectionType	NameVisibility
55	WS-FULL-HOUSE-LEN	1	-1	2	46	46	0	0	3	S9(4)	+130	1	-1	0	0	8	2	0	0	58	2	0	1			17	41	5	0		2	0	
56	WS-FULL-MOTOR-LEN	1	-1	2	46	46	0	0	3	S9(4)	+137	1	-1	0	0	9	2	0	0	59	2	0	1			19	46	5	0		2	0	
57	WS-FULL-COMM-LEN	1	-1	2	46	46	0	0	3	S9(4)	+1174	1	-1	0	0	10	2	0	0	60	2	0	1			21	51	5	0		2	0	
58	WS-FULL-CLAIM-LEN	1	-1	2	46	46	0	0	3	S9(4)	+618	1	-1	0	0	11	2	0	0	61	2	0	1			23	56	5	0		2	0	
59	WS-SUMRY-ENDOW-LEN	1	-1	2	46	46	0	0	3	S9(4)	+25	1	-1	0	0	12	2	0	0	62	2	0	1			25	61	5	0		2	0	
60	DB2-CUSTOMER	1	-1	212	0	0	0	0	1			0	0	0	9	16	1	0	0	63	2	0	1			1	1	212	0		2	0	
61	DB2-FIRSTNAME	1	-1	10	60	60	0	0	3	X(10)		6	-1	0	0	0	1	0	0	64	2	0	1			1	1	10	0		2	0	
62	DB2-LASTNAME	1	-1	20	60	60	0	0	3	X(20)		6	-1	0	0	1	1	0	0	65	2	0	1			11	11	20	0		2	0	
63	DB2-DATEOFBIRTH	1	-1	10	60	60	0	0	3	X(10)		6	-1	0	0	2	1	0	0	66	2	0	1			31	31	10	0		2	0	
64	DB2-HOUSENAME	1	-1	20	60	60	0	0	3	X(20)		6	-1	0	0	3	1	0	0	67	2	0	1			41	41	20	0		2	0	
65	DB2-HOUSENUMBER	1	-1	4	60	60	0	0	3	X(4)		6	-1	0	0	4	1	0	0	68	2	0	1			61	61	4	0		2	0	
66	DB2-POSTCODE	1	-1	8	60	60	0	0	3	X(8)		6	-1	0	0	5	1	0	0	69	2	0	1			65	65	8	0		2	0	
67	DB2-PHONE-MOBILE	1	-1	20	60	60	0	0	3	X(20)		6	-1	0	0	6	1	0	0	70	2	0	1			73	73	20	0		2	0	
68	DB2-PHONE-HOME	1	-1	20	60	60	0	0	3	X(20)		6	-1	0	0	7	1	0	0	71	2	0	1			93	93	20	0		2	0	
69	DB2-EMAIL-ADDRESS	1	-1	100	60	60	0	0	3	X(100)		6	-1	0	0	8	1	0	0	72	2	0	1			113	113	100	0		2	0	
70	DB2-POLICY	1	-1	83	0	0	0	0	1			0	0	0	3	17	1	0	0	73	2	0	1			1	1	83	0		2	0	
71	DB2-POLICYTYPE	1	-1	1	70	70	0	0	3	X		6	-1	0	0	0	1	0	0	74	2	0	1			1	1	1	0		2	0	
72	DB2-POLICYNUMBER	1	-1	10	70	70	0	0	3	9(10)		1	-1	0	0	1	1	0	0	75	2	0	1			2	2	10	0		2	0	
73	DB2-POLICY-COMMON	1	-1	72	70	70	0	0	3			0	0	0	6	2	1	0	0	76	2	0	1			12	12	72	0		2	0	
74	DB2-ISSUEDATE	1	-1	10	73	70	0	0	5	X(10)		6	-1	0	0	0	1	0	0	77	2	0	1			12	12	10	0		2	0	
75	DB2-EXPIRYDATE	1	-1	10	73	70	0	0	5	X(10)		6	-1	0	0	1	1	0	0	78	2	0	1			22	22	10	0		2	0	
76	DB2-LASTCHANGED	1	-1	26	73	70	0	0	5	X(26)		6	-1	0	0	2	1	0	0	79	2	0	1			32	32	26	0		2	0	
77	DB2-BROKERID	1	-1	10	73	70	0	0	5	9(10)		1	-1	0	0	3	1	0	0	80	2	0	1			58	58	10	0		2	0	
78	DB2-BROKERSREF	1	-1	10	73	70	0	0	5	X(10)		6	-1	0	0	4	1	0	0	81	2	0	1			68	68	10	0		2	0	
79	DB2-PAYMENT	1	-1	6	73	70	0	0	5	9(6)		1	-1	0	0	5	1	0	0	82	2	0	1			78	78	6	0		2	0	
80	DB2-ENDOWMENT	1	-1	32663	0	0	0	0	1			0	0	0	2	18	1	0	0	83	2	0	1			1	1	32663	0		2	0	
81	DB2-ENDOW-FIXED	1	-1	52	80	80	0	0	3			0	0	0	7	0	1	0	0	84	2	0	1			1	1	52	0		2	0	
82	DB2-E-WITHPROFITS	1	-1	1	81	80	0	0	5	X		6	-1	0	0	0	1	0	0	85	2	0	1			1	1	1	0		2	0	
83	DB2-E-EQUITIES	1	-1	1	81	80	0	0	5	X		6	-1	0	0	1	1	0	0	86	2	0	1			2	2	1	0		2	0	
84	DB2-E-MANAGEDFUND	1	-1	1	81	80	0	0	5	X		6	-1	0	0	2	1	0	0	87	2	0	1			3	3	1	0		2	0	
85	DB2-E-FUNDNAME	1	-1	10	81	80	0	0	5	X(10)		6	-1	0	0	3	1	0	0	88	2	0	1			4	4	10	0		2	0	
86	DB2-E-TERM	1	-1	2	81	80	0	0	5	9(2)		1	-1	0	0	4	1	0	0	89	2	0	1			14	14	2	0		2	0	
87	DB2-E-SUMASSURED	1	-1	6	81	80	0	0	5	9(6)		1	-1	0	0	5	1	0	0	90	2	0	1			16	16	6	0		2	0	
88	DB2-E-LIFEASSURED	1	-1	31	81	80	0	0	5	X(31)		6	-1	0	0	6	1	0	0	91	2	0	1			22	22	31	0		2	0	
89	DB2-E-PADDINGDATA	1	-1	32611	80	80	0	0	3	X(32611)		6	-1	0	0	1	1	0	0	92	2	0	1			53	53	32611	0		2	0	
90	DB2-HOUSE	1	-1	58	0	0	0	0	1			0	0	0	6	19	1	0	0	93	2	0	1			1	1	58	0		2	0	
91	DB2-H-PROPERTYTYPE	1	-1	15	90	90	0	0	3	X(15)		6	-1	0	0	0	1	0	0	94	2	0	1			1	1	15	0		2	0	
92	DB2-H-BEDROOMS	1	-1	3	90	90	0	0	3	9(3)		1	-1	0	0	1	1	0	0	95	2	0	1			16	16	3	0		2	0	
93	DB2-H-VALUE	1	-1	8	90	90	0	0	3	9(8)		1	-1	0	0	2	1	0	0	96	2	0	1			19	19	8	0		2	0	
94	DB2-H-HOUSENAME	1	-1	20	90	90	0	0	3	X(20)		6	-1	0	0	3	1	0	0	97	2	0	1			27	27	20	0		2	0	
95	DB2-H-HOUSENUMBER	1	-1	4	90	90	0	0	3	X(4)		6	-1	0	0	4	1	0	0	98	2	0	1			47	47	4	0		2	0	
96	DB2-H-POSTCODE	1	-1	8	90	90	0	0	3	X(8)		6	-1	0	0	5	1	0	0	99	2	0	1			51	51	8	0		2	0	
97	DB2-MOTOR	1	-1	77	0	0	0	0	1			0	0	0	9	20	1	0	0	100	2	0	1			1	1	77	0		2	0	
98	DB2-M-MAKE	1	-1	15	97	97	0	0	3	X(15)		6	-1	0	0	0	1	0	0	101	2	0	1			1	1	15	0		2	0	
99	DB2-M-MODEL	1	-1	15	97	97	0	0	3	X(15)		6	-1	0	0	1	1	0	0	102	2	0	1			16	16	15	0		2	0	
100	DB2-M-VALUE	1	-1	6	97	97	0	0	3	9(6)		1	-1	0	0	2	1	0	0	103	2	0	1			31	31	6	0		2	0	
101	DB2-M-REGNUMBER	1	-1	7	97	97	0	0	3	X(7)		6	-1	0	0	3	1	0	0	104	2	0	1			37	37	7	0		2	0	
102	DB2-M-COLOUR	1	-1	8	97	97	0	0	3	X(8)		6	-1	0	0	4	1	0	0	105	2	0	1			44	44	8	0		2	0	
103	DB2-M-CC	1	-1	4	97	97	0	0	3	9(4)		1	-1	0	0	5	1	0	0	106	2	0	1			52	52	4	0		2	0	
104	DB2-M-MANUFACTURED	1	-1	10	97	97	0	0	3	X(10)		6	-1	0	0	6	1	0	0	107	2	0	1			56	56	10	0		2	0	
105	DB2-M-PREMIUM	1	-1	6	97	97	0	0	3	9(6)		1	-1	0	0	7	1	0	0	108	2	0	1			66	66	6	0		2	0	
106	DB2-M-ACCIDENTS	1	-1	6	97	97	0	0	3	9(6)		1	-1	0	0	8	1	0	0	109	2	0	1			72	72	6	0		2	0	
107	DB2-COMMERCIAL	1	-1	1102	0	0	0	0	1			0	0	0	16	21	1	0	0	110	2	0	1			1	1	1102	0		2	0	
108	DB2-B-Address	1	-1	255	107	107	0	0	3	X(255)		6	-1	0	0	0	1	0	0	111	2	0	1			1	1	255	0		2	0	
109	DB2-B-Postcode	1	-1	8	107	107	0	0	3	X(8)		6	-1	0	0	1	1	0	0	112	2	0	1			256	256	8	0		2	0	
110	DB2-B-Latitude	1	-1	11	107	107	0	0	3	X(11)		6	-1	0	0	2	1	0	0	113	2	0	1			264	264	11	0		2	0	
111	DB2-B-Longitude	1	-1	11	107	107	0	0	3	X(11)		6	-1	0	0	3	1	0	0	114	2	0	1			275	275	11	0		2	0	
112	DB2-B-Customer	1	-1	255	107	107	0	0	3	X(255)		6	-1	0	0	4	1	0	0	115	2	0	1			286	286	255	0		2	0	
113	DB2-B-PropType	1	-1	255	107	107	0	0	3	X(255)		6	-1	0	0	5	1	0	0	116	2	0	1			541	541	255	0		2	0	
114	DB2-B-FirePeril	1	-1	4	107	107	0	0	3	9(4)		1	-1	0	0	6	1	0	0	117	2	0	1			796	796	4	0		2	0	
115	DB2-B-FirePremium	1	-1	8	107	107	0	0	3	9(8)		1	-1	0	0	7	1	0	0	118	2	0	1			800	800	8	0		2	0	
116	DB2-B-CrimePeril	1	-1	4	107	107	0	0	3	9(4)		1	-1	0	0	8	1	0	0	119	2	0	1			808	808	4	0		2	0	
117	DB2-B-CrimePremium	1	-1	8	107	107	0	0	3	9(8)		1	-1	0	0	9	1	0	0	120	2	0	1			812	812	8	0		2	0	
118	DB2-B-FloodPeril	1	-1	4	107	107	0	0	3	9(4)		1	-1	0	0	10	1	0	0	121	2	0	1			820	820	4	0		2	0	
119	DB2-B-FloodPremium	1	-1	8	107	107	0	0	3	9(8)		1	-1	0	0	11	1	0	0	122	2	0	1			824	824	8	0		2	0	
120	DB2-B-WeatherPeril	1	-1	4	107	107	0	0	3	9(4)		1	-1	0	0	12	1	0	0	123	2	0	1			832	832	4	0		2	0	
121	DB2-B-WeatherPremium	1	-1	8	107	107	0	0	3	9(8)		1	-1	0	0	13	1	0	0	124	2	0	1			836	836	8	0		2	0	
122	DB2-B-Status	1	-1	4	107	107	0	0	3	9(4)		1	-1	0	0	14	1	0	0	125	2	0	1			844	844	4	0		2	0	
123	DB2-B-RejectReason	1	-1	255	107	107	0	0	3	X(255)		6	-1	0	0	15	1	0	0	126	2	0	1			848	848	255	0		2	0	
124	DB2-CLAIM	1	-1	546	0	0	0	0	1			0	0	0	6	22	1	0	0	127	2	0	1			1	1	546	0		2	0	
125	DB2-C-Num	1	-1	10	124	124	0	0	3	9(10)		1	-1	0	0	0	1	0	0	128	2	0	1			1	1	10	0		2	0	
126	DB2-C-Date	1	-1	10	124	124	0	0	3	X(10)		6	-1	0	0	1	1	0	0	129	2	0	1			11	11	10	0		2	0	
127	DB2-C-Paid	1	-1	8	124	124	0	0	3	9(8)		1	-1	0	0	2	1	0	0	130	2	0	1			21	21	8	0		2	0	
128	DB2-C-Value	1	-1	8	124	124	0	0	3	9(8)		1	-1	0	0	3	1	0	0	131	2	0	1			29	29	8	0		2	0	
129	DB2-C-Cause	1	-1	255	124	124	0	0	3	X(255)		6	-1	0	0	4	1	0	0	132	2	0	1			37	37	255	0		2	0	
130	DB2-C-Observations	1	-1	255	124	124	0	0	3	X(255)		6	-1	0	0	5	1	0	0	133	2	0	1			292	292	255	0		2	0	
131	DB2-OUT-INTEGERS	1	0	4	0	0	0	0	1			0	0	0	1	23	1	0	0	134	2	0	1			1	1	10	0		2	0	
132	DB2-CUSTOMERNUM-INT	1	0	4	131	131	0	0	3	S9(9)		1	-1	0	0	0	2	0	0	135	2	0	1			1	1	10	0		2	0	
133	SQLCA	1	-1	136	0	0	0	0	1			0	0	0	8	24	1	0	0	137	2	0	1			1	1	187	0		2	0	
134	SQLCAID	1	-1	8	133	133	0	0	5	X(8)		6	-1	0	0	0	1	0	0	138	2	0	1			1	1	8	0		2	0	
135	SQLCABC	1	-1	4	133	133	0	0	5	S9(9)		1	-1	0	0	1	2	0	0	139	2	0	1			9	9	10	0		2	0	
136	SQLCODE	1	-1	4	133	133	0	0	5	S9(9)		1	-1	0	0	2	2	0	0	140	2	0	1			13	19	10	0		2	0	
137	SQLERRM	1	-1	72	133	133	0	0	5			0	0	0	2	3	1	0	0	141	2	0	1			17	29	75	0		2	0	
138	SQLERRML	1	-1	2	137	133	0	0	49	S9(4)		1	-1	0	0	0	2	0	0	142	2	0	1			17	29	5	0		2	0	
139	SQLERRMC	1	-1	70	137	133	0	0	49	X(70)		6	-1	0	0	1	1	0	0	143	2	0	1			19	34	70	0		2	0	
140	SQLERRP	1	-1	8	133	133	0	0	5	X(8)		6	-1	0	0	4	1	0	0	144	2	0	1			89	104	8	0		2	0	
141	SQLERRD	1	-1	24	133	133	0	0	5	S9(9)		1	-1	0	0	5	2	0	0	145	2	0	6			97	112	60	0		2	0	
142	SQLWARN	1	-1	8	133	133	0	0	5			0	0	0	8	6	1	0	0	146	2	0	1			121	172	8	0		2	0	
143	SQLWARN0	1	-1	1	142	133	0	0	10	X		6	-1	0	0	0	1	0	0	147	2	0	1			121	172	1	0		2	0	
144	SQLWARN1	1	-1	1	142	133	0	0	10	X		6	-1	0	0	1	1	0	0	148	2	0	1			122	173	1	0		2	0	
145	SQLWARN2	1	-1	1	142	133	0	0	10	X		6	-1	0	0	2	1	0	0	149	2	0	1			123	174	1	0		2	0	
146	SQLWARN3	1	-1	1	142	133	0	0	10	X		6	-1	0	0	3	1	0	0	150	2	0	1			124	175	1	0		2	0	
147	SQLWARN4	1	-1	1	142	133	0	0	10	X		6	-1	0	0	4	1	0	0	151	2	0	1			125	176	1	0		2	0	
148	SQLWARN5	1	-1	1	142	133	0	0	10	X		6	-1	0	0	5	1	0	0	152	2	0	1			126	177	1	0		2	0	
149	SQLWARN6	1	-1	1	142	133	0	0	10	X		6	-1	0	0	6	1	0	0	153	2	0	1			127	178	1	0		2	0	
150	SQLWARN7	1	-1	1	142	133	0	0	10	X		6	-1	0	0	7	1	0	0	154	2	0	1			128	179	1	0		2	0	
151	SQLEXT	1	-1	8	133	133	0	0	5			0	0	0	4	7	1	0	0	155	2	0	1			129	180	8	0		2	0	
152	SQLWARN8	1	-1	1	151	133	0	0	10	X		6	-1	0	0	0	1	0	0	156	2	0	1			129	180	1	0		2	0	
153	SQLWARN9	1	-1	1	151	133	0	0	10	X		6	-1	0	0	1	1	0	0	157	2	0	1			130	181	1	0		2	0	
154	SQLWARNA	1	-1	1	151	133	0	0	10	X		6	-1	0	0	2	1	0	0	158	2	0	1			131	182	1	0		2	0	
155	SQLSTATE	1	-1	5	151	133	0	0	10	X(5)		6	-1	0	0	3	1	0	0	159	2	0	1			132	183	5	0		2	0	
156	DFHCOMMAREA-1	1	0	32500	0	0	0	0	1			0	0	0	7	0	1	0	0	169	2	0	1			1	1	32500	0		3	0	
157	CA-REQUEST-ID	1	-1	6	156	156	0	0	3	X(6)		6	-1	0	0	0	1	0	0	171	2	0	1			1	1	6	0		3	0	
158	CA-RETURN-CODE	1	-1	2	156	156	0	0	3	9(2)		1	-1	0	0	1	1	0	0	172	2	0	1			7	7	2	0		3	0	
159	CA-CUSTOMER-NUM	1	-1	10	156	156	0	0	3	9(10)		1	-1	0	0	2	1	0	0	173	2	0	1			9	9	10	0		3	0	
160	CA-REQUEST-SPECIFIC	1	-1	32482	156	156	0	-1	3	X(32482)		6	-1	0	0	3	1	0	0	174	2	0	1			19	19	32482	0		3	0	
161	CA-CUSTOMER-REQUEST	1	-1	32482	156	156	160	0	3			0	0	0	11	4	1	0	0	175	2	0	1			19	19	32482	0		3	0	
162	CA-FIRST-NAME	1	-1	10	161	156	0	0	5	X(10)		6	-1	0	0	0	1	0	0	176	2	0	1			19	19	10	0		3	0	
163	CA-LAST-NAME	1	-1	20	161	156	0	0	5	X(20)		6	-1	0	0	1	1	0	0	177	2	0	1			29	29	20	0		3	0	
164	CA-DOB	1	-1	10	161	156	0	0	5	X(10)		6	-1	0	0	2	1	0	0	178	2	0	1			49	49	10	0		3	0	
165	CA-HOUSE-NAME	1	-1	20	161	156	0	0	5	X(20)		6	-1	0	0	3	1	0	0	179	2	0	1			59	59	20	0		3	0	
166	CA-HOUSE-NUM	1	-1	4	161	156	0	0	5	X(4)		6	-1	0	0	4	1	0	0	180	2	0	1			79	79	4	0		3	0	
167	CA-POSTCODE	1	-1	8	161	156	0	0	5	X(8)		6	-1	0	0	5	1	0	0	181	2	0	1			83	83	8	0		3	0	
168	CA-NUM-POLICIES	1	-1	3	161	156	0	0	5	9(3)		1	-1	0	0	6	1	0	0	182	2	0	1			91	91	3	0		3	0	
169	CA-PHONE-MOBILE	1	-1	20	161	156	0	0	5	X(20)		6	-1	0	0	7	1	0	0	183	2	0	1			94	94	20	0		3	0	
170	CA-PHONE-HOME	1	-1	20	161	156	0	0	5	X(20)		6	-1	0	0	8	1	0	0	184	2	0	1			114	114	20	0		3	0	
171	CA-EMAIL-ADDRESS	1	-1	100	161	156	0	0	5	X(100)		6	-1	0	0	9	1	0	0	185	2	0	1			134	134	100	0		3	0	
172	CA-POLICY-DATA	1	-1	32267	161	156	0	0	5	X(32267)		6	-1	0	0	10	1	0	0	186	2	0	1			234	234	32267	0		3	0	
173	CA-CUSTSECR-REQUEST	1	-1	32482	156	156	160	0	3			0	0	0	4	5	1	0	0	187	2	0	1			19	19	32482	0		3	0	
174	CA-CUSTSECR-PASS	1	-1	32	173	156	0	0	5	X(32)		6	-1	0	0	0	1	0	0	188	2	0	1			19	19	32	0		3	0	
175	CA-CUSTSECR-COUNT	1	-1	4	173	156	0	0	5	X(4)		6	-1	0	0	1	1	0	0	189	2	0	1			51	51	4	0		3	0	
176	CA-CUSTSECR-STATE	1	-1	1	173	156	0	0	5	X		6	-1	0	0	2	1	0	0	190	2	0	1			55	55	1	0		3	0	
177	CA-CUSTSECR-DATA	1	-1	32445	173	156	0	0	5	X(32445)		6	-1	0	0	3	1	0	0	191	2	0	1			56	56	32445	0		3	0	
178	CA-POLICY-REQUEST	1	-1	32482	156	156	160	0	3			0	0	0	8	6	1	0	0	192	2	0	1			19	19	32482	0		3	0	
179	CA-POLICY-NUM	1	-1	10	178	156	0	0	5	9(10)		1	-1	0	0	0	1	0	0	193	2	0	1			19	19	10	0		3	0	
180	CA-POLICY-COMMON	1	-1	72	178	156	0	0	5			0	0	0	6	1	1	0	0	194	2	0	1			29	29	72	0		3	0	
181	CA-ISSUE-DATE	1	-1	10	180	156	0	0	7	X(10)		6	-1	0	0	0	1	0	0	195	2	0	1			29	29	10	0		3	0	
182	CA-EXPIRY-DATE	1	-1	10	180	156	0	0	7	X(10)		6	-1	0	0	1	1	0	0	196	2	0	1			39	39	10	0		3	0	
183	CA-LASTCHANGED	1	-1	26	180	156	0	0	7	X(26)		6	-1	0	0	2	1	0	0	197	2	0	1			49	49	26	0		3	0	
184	CA-BROKERID	1	-1	10	180	156	0	0	7	9(10)		1	-1	0	0	3	1	0	0	198	2	0	1			75	75	10	0		3	0	
185	CA-BROKERSREF	1	-1	10	180	156	0	0	7	X(10)		6	-1	0	0	4	1	0	0	199	2	0	1			85	85	10	0		3	0	
